count,species,genus,family,order,class,phylum,kingdom,superkingdom
1,Actinocorallia aurantiaca,Actinocorallia,Thermomonosporaceae,Streptosporangiales,Actinomycetia,Actinobacteria,-,Bacteria
2,Paenibacillus polymyxa,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
2,Notelaea microcarpa,Notelaea,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Microlunatus elymi,Microlunatus,Propionibacteriaceae,Propionibacteriales,Actinomycetia,Actinobacteria,-,Bacteria
2,Silene cambessedesii,Silene,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
3,Aquicella lusitana,Aquicella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Lysinimonas sp. KACC 19322,Lysinimonas,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,-,Bacteria
2,Crepidotus sp. PBM3237,Crepidotus,Crepidotaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
1,Osmanthus americanus,Osmanthus,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Mycoplasma capricolum,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,-,Bacteria
1,Planctomycetes bacterium SV_7m_r,-,-,-,-,Planctomycetes,-,Bacteria
2,Histophilus somni,Histophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Tautonia plasticadhaerens,Tautonia,Isosphaeraceae,Isosphaerales,Planctomycetia,Planctomycetes,-,Bacteria
1,Planctomycetes bacterium Pla85_3_4,-,-,-,-,Planctomycetes,-,Bacteria
3,Talbotia elegans,Talbotia,Velloziaceae,Pandanales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
17,Ganoderma tornatum,Ganoderma,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
1,Lichenomphalia hudsoniana,Lichenomphalia,Hygrophoraceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
6,Tolypocladium parasiticum,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
10,Ganoderma parvulum,Ganoderma,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
3,Hygroaster albellus,Hygroaster,Hygrophoraceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
2,Amycolatopsis mediterranei,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,-,Bacteria
